location,Category,Indicator,year,value
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2008,
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2008,
Rwanda,Vaccine preventable disease,BCG vaccination received,2008,95.5
Rwanda,Measeles,Measles vaccination received,2008,90.4
Rwanda,DPT,Received all 8 basic vaccinations,2008,80.4
Rwanda,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2008,
Rwanda,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2008,
Rwanda,Neonatal disorders,Antenatal care provider: Community health worker,2008,
Rwanda,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2008,24.8
Rwanda,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2008,41.7
Rwanda,DPT,Tetanus protection at birth,2008,72.4
Rwanda,Neonatal disorders,Assistance during delivery from a skilled provider,2008,57.8
Rwanda,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2008,
Rwanda,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2008,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2010,41
Rwanda,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2010,7.6
Rwanda,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2010,36.6
Rwanda,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2010,
Rwanda,LRI,Children with symptoms of ARI taken to a health facility,2010,54.7
Rwanda,LRI,Children with symptoms of ARI who received antibiotics,2010,46.6
Rwanda,Malaria,Children with fever in the last two weeks,2010,15.8
Rwanda,Malaria,Advice or treatment for fever sought from a health facility or provider,2010,44.8
Rwanda,Malaria,Child took antimalarial drugs for fever,2010,10.1
Rwanda,Malaria,Child took antibiotic drugs for fever,2010,29.5
Rwanda,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2010,84.9
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2010,62.3
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2010,91.2
Rwanda,Vaccine preventable disease,BCG vaccination received,2010,99.1
Rwanda,Measeles,Measles vaccination received,2010,95
Rwanda,DPT,Received all 8 basic vaccinations,2010,90.1
Rwanda,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2010,89.4
Rwanda,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2010,94.5
Rwanda,Neonatal disorders,Antenatal care provider: Community health worker,2010,
Rwanda,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2010,36.2
Rwanda,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2010,76
Rwanda,DPT,Tetanus protection at birth,2010,83.3
Rwanda,Neonatal disorders,Assistance during delivery from a skilled provider,2010,77.1
Rwanda,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2010,
Rwanda,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2010,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2013,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2013,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2013,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2013,
Rwanda,LRI,Children with symptoms of ARI taken to a health facility,2013,
Rwanda,LRI,Children with symptoms of ARI who received antibiotics,2013,
Rwanda,Malaria,Children with fever in the last two weeks,2013,29.1
Rwanda,Malaria,Advice or treatment for fever sought from a health facility or provider,2013,57.5
Rwanda,Malaria,Child took antimalarial drugs for fever,2013,11.6
Rwanda,Malaria,Child took antibiotic drugs for fever,2013,35
Rwanda,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2013,
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2013,
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2013,
Rwanda,Vaccine preventable disease,BCG vaccination received,2013,
Rwanda,Measeles,Measles vaccination received,2013,
Rwanda,DPT,Received all 8 basic vaccinations,2013,
Rwanda,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2013,
Rwanda,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2013,
Rwanda,Neonatal disorders,Antenatal care provider: Community health worker,2013,
Rwanda,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2013,
Rwanda,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2013,
Rwanda,DPT,Tetanus protection at birth,2013,
Rwanda,Neonatal disorders,Assistance during delivery from a skilled provider,2013,
Rwanda,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2013,
Rwanda,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2013,
Rwanda,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2015,45
Rwanda,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2015,8.7
Rwanda,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2015,34.7
Rwanda,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2015,
Rwanda,LRI,Children with symptoms of ARI taken to a health facility,2015,54.7
Rwanda,LRI,Children with symptoms of ARI who received antibiotics,2015,51.8
Rwanda,Malaria,Children with fever in the last two weeks,2015,18.7
Rwanda,Malaria,Advice or treatment for fever sought from a health facility or provider,2015,50.1
Rwanda,Malaria,Child took antimalarial drugs for fever,2015,8.4
Rwanda,Malaria,Child took antibiotic drugs for fever,2015,42
Rwanda,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2015,87.3
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2015,55.8
Rwanda,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2015,91.4
Rwanda,Vaccine preventable disease,BCG vaccination received,2015,98.9
Rwanda,Measeles,Measles vaccination received,2015,95.2
Rwanda,DPT,Received all 8 basic vaccinations,2015,92.6
Rwanda,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2015,90
Rwanda,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2015,97.9
Rwanda,Neonatal disorders,Antenatal care provider: Community health worker,2015,
Rwanda,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2015,44.3
Rwanda,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2015,78.8
Rwanda,DPT,Tetanus protection at birth,2015,82.4
Rwanda,Neonatal disorders,Assistance during delivery from a skilled provider,2015,91.7
Rwanda,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2015,
Rwanda,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2015,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1986,
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1986,
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1986,
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1986,
Senegal,LRI,Children with symptoms of ARI taken to a health facility,1986,
Senegal,LRI,Children with symptoms of ARI who received antibiotics,1986,
Senegal,Malaria,Children with fever in the last two weeks,1986,
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,1986,
Senegal,Malaria,Child took antimalarial drugs for fever,1986,
Senegal,Malaria,Child took antibiotic drugs for fever,1986,
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1986,4.6
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1986,66.2
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1986,84.7
Senegal,Vaccine preventable disease,BCG vaccination received,1986,26.5
Senegal,Measeles,Measles vaccination received,1986,20.1
Senegal,DPT,Received all 8 basic vaccinations,1986,6.6
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1986,
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1986,
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,1986,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1986,
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1986,
Senegal,DPT,Tetanus protection at birth,1986,
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,1986,22.7
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1986,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1986,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1993,23.2
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1993,12.5
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1993,17.5
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1993,
Senegal,LRI,Children with symptoms of ARI taken to a health facility,1993,33.4
Senegal,LRI,Children with symptoms of ARI who received antibiotics,1993,
Senegal,Malaria,Children with fever in the last two weeks,1993,37.8
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,1993,32.8
Senegal,Malaria,Child took antimalarial drugs for fever,1993,
Senegal,Malaria,Child took antibiotic drugs for fever,1993,
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1993,5
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1993,55.3
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1993,71.3
Senegal,Vaccine preventable disease,BCG vaccination received,1993,83.6
Senegal,Measeles,Measles vaccination received,1993,57.2
Senegal,DPT,Received all 8 basic vaccinations,1993,49.1
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1993,
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1993,
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,1993,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1993,14.3
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1993,
Senegal,DPT,Tetanus protection at birth,1993,
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,1993,47.6
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1993,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1993,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,1997,33.9
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,1997,24
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,1997,32.7
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,1997,
Senegal,LRI,Children with symptoms of ARI taken to a health facility,1997,
Senegal,LRI,Children with symptoms of ARI who received antibiotics,1997,
Senegal,Malaria,Children with fever in the last two weeks,1997,
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,1997,
Senegal,Malaria,Child took antimalarial drugs for fever,1997,
Senegal,Malaria,Child took antibiotic drugs for fever,1997,
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),1997,10.7
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),1997,63.7
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),1997,68.8
Senegal,Vaccine preventable disease,BCG vaccination received,1997,
Senegal,Measeles,Measles vaccination received,1997,
Senegal,DPT,Received all 8 basic vaccinations,1997,
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],1997,
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,1997,
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,1997,2.7
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,1997,17.3
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,1997,
Senegal,DPT,Tetanus protection at birth,1997,
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,1997,47
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,1997,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,1997,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2005,20.6
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2005,13.5
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2005,26.2
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2005,
Senegal,LRI,Children with symptoms of ARI taken to a health facility,2005,48.7
Senegal,LRI,Children with symptoms of ARI who received antibiotics,2005,
Senegal,Malaria,Children with fever in the last two weeks,2005,29.8
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,2005,43.2
Senegal,Malaria,Child took antimalarial drugs for fever,2005,27.4
Senegal,Malaria,Child took antibiotic drugs for fever,2005,
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2005,34.1
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2005,58.1
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2005,79.6
Senegal,Vaccine preventable disease,BCG vaccination received,2005,91.7
Senegal,Measeles,Measles vaccination received,2005,73.5
Senegal,DPT,Received all 8 basic vaccinations,2005,58.7
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2005,21.5
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2005,
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,2005,5.5
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2005,39.9
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2005,90.6
Senegal,DPT,Tetanus protection at birth,2005,
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,2005,53.2
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2005,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2005,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2006,
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2006,
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2006,
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2006,
Senegal,LRI,Children with symptoms of ARI taken to a health facility,2006,
Senegal,LRI,Children with symptoms of ARI who received antibiotics,2006,
Senegal,Malaria,Children with fever in the last two weeks,2006,37.3
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,2006,46.5
Senegal,Malaria,Child took antimalarial drugs for fever,2006,19.8
Senegal,Malaria,Child took antibiotic drugs for fever,2006,
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2006,
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2006,
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2006,
Senegal,Vaccine preventable disease,BCG vaccination received,2006,
Senegal,Measeles,Measles vaccination received,2006,
Senegal,DPT,Received all 8 basic vaccinations,2006,
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2006,
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2006,
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,2006,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2006,
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2006,
Senegal,DPT,Tetanus protection at birth,2006,
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,2006,
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2006,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2006,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2009,
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2009,
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2009,
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2009,
Senegal,LRI,Children with symptoms of ARI taken to a health facility,2009,
Senegal,LRI,Children with symptoms of ARI who received antibiotics,2009,
Senegal,Malaria,Children with fever in the last two weeks,2009,31
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,2009,45.6
Senegal,Malaria,Child took antimalarial drugs for fever,2009,8.5
Senegal,Malaria,Child took antibiotic drugs for fever,2009,
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2009,
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2009,
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2009,
Senegal,Vaccine preventable disease,BCG vaccination received,2009,
Senegal,Measeles,Measles vaccination received,2009,
Senegal,DPT,Received all 8 basic vaccinations,2009,
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2009,
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2009,
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,2009,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2009,
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2009,
Senegal,DPT,Tetanus protection at birth,2009,
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,2009,
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2009,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2009,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2011,34.6
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2011,7.5
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2011,25.5
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2011,0.3
Senegal,LRI,Children with symptoms of ARI taken to a health facility,2011,46.2
Senegal,LRI,Children with symptoms of ARI who received antibiotics,2011,30.2
Senegal,Malaria,Children with fever in the last two weeks,2011,22.6
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,2011,42
Senegal,Malaria,Child took antimalarial drugs for fever,2011,7.5
Senegal,Malaria,Child took antibiotic drugs for fever,2011,26.2
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2011,39
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2011,66.7
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2011,81.6
Senegal,Vaccine preventable disease,BCG vaccination received,2011,94.7
Senegal,Measeles,Measles vaccination received,2011,82.1
Senegal,DPT,Received all 8 basic vaccinations,2011,62.8
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2011,36.8
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2011,35.9
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,2011,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2011,48.9
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2011,93.8
Senegal,DPT,Tetanus protection at birth,2011,68.6
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,2011,64.5
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2011,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2011,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2013,39.1
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2013,3.7
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2013,21
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2013,0.8
Senegal,LRI,Children with symptoms of ARI taken to a health facility,2013,47.4
Senegal,LRI,Children with symptoms of ARI who received antibiotics,2013,30.9
Senegal,Malaria,Children with fever in the last two weeks,2013,16.6
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,2013,44.3
Senegal,Malaria,Child took antimalarial drugs for fever,2013,6.1
Senegal,Malaria,Child took antibiotic drugs for fever,2013,23.5
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2013,37.5
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2013,63.9
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2013,88.4
Senegal,Vaccine preventable disease,BCG vaccination received,2013,96.3
Senegal,Measeles,Measles vaccination received,2013,77.8
Senegal,DPT,Received all 8 basic vaccinations,2013,70.2
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2013,
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2013,
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,2013,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2013,45.8
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2013,93.6
Senegal,DPT,Tetanus protection at birth,2013,81.8
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,2013,50.8
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2013,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2013,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2014,32.9
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2014,1.7
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2014,23.6
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2014,2.4
Senegal,LRI,Children with symptoms of ARI taken to a health facility,2014,46.7
Senegal,LRI,Children with symptoms of ARI who received antibiotics,2014,35.6
Senegal,Malaria,Children with fever in the last two weeks,2014,11.4
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,2014,44.4
Senegal,Malaria,Child took antimalarial drugs for fever,2014,4.9
Senegal,Malaria,Child took antibiotic drugs for fever,2014,24.5
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2014,32.4
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2014,64.8
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2014,83.7
Senegal,Vaccine preventable disease,BCG vaccination received,2014,95.3
Senegal,Measeles,Measles vaccination received,2014,80.2
Senegal,DPT,Received all 8 basic vaccinations,2014,73.7
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2014,32.6
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2014,
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,2014,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2014,47.1
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2014,94.8
Senegal,DPT,Tetanus protection at birth,2014,83.7
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,2014,59.6
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2014,
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2014,
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2015,40.9
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2015,1.5
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2015,32.9
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2015,10.3
Senegal,LRI,Children with symptoms of ARI taken to a health facility,2015,48.7
Senegal,LRI,Children with symptoms of ARI who received antibiotics,2015,30.4
Senegal,Malaria,Children with fever in the last two weeks,2015,15
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,2015,43
Senegal,Malaria,Child took antimalarial drugs for fever,2015,2.7
Senegal,Malaria,Child took antibiotic drugs for fever,2015,25
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2015,33.3
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2015,53.8
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2015,81.8
Senegal,Vaccine preventable disease,BCG vaccination received,2015,95.7
Senegal,Measeles,Measles vaccination received,2015,79.1
Senegal,DPT,Received all 8 basic vaccinations,2015,68
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2015,31.8
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2015,51.8
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,2015,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2015,46.1
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2015,94.7
Senegal,DPT,Tetanus protection at birth,2015,84
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,2015,53.3
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2015,49.6
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2015,20.7
Senegal,Diarrheal diseases,Treatment of diarrhea: Taken to a health facility,2016,35.4
Senegal,Diarrheal diseases,Treatment of diarrhea: Recommended home fluids (RHF) at home,2016,1.4
Senegal,Diarrheal diseases,Treatment of diarrhea: Either ORS or RHF,2016,20.4
Senegal,Diarrheal diseases,Treatment of diarrhea: Zinc supplements,2016,7
Senegal,LRI,Children with symptoms of ARI taken to a health facility,2016,51
Senegal,LRI,Children with symptoms of ARI who received antibiotics,2016,35.5
Senegal,Malaria,Children with fever in the last two weeks,2016,12.7
Senegal,Malaria,Advice or treatment for fever sought from a health facility or provider,2016,44.5
Senegal,Malaria,Child took antimalarial drugs for fever,2016,1.1
Senegal,Malaria,Child took antibiotic drugs for fever,2016,26.3
Senegal,Nutritional deficiencies,Children exclusively breastfed (0 to 5 months),2016,36.4
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (6-8 months),2016,56.1
Senegal,Nutritional deficiencies,Children breastfeeding and consuming complementary foods (9-11 months),2016,81
Senegal,Vaccine preventable disease,BCG vaccination received,2016,94.1
Senegal,Measeles,Measles vaccination received,2016,80.6
Senegal,DPT,Received all 8 basic vaccinations,2016,69.8
Senegal,HIV/AIDS,Knowledge of prevention of mother to child transmission of HIV [Women],2016,28.3
Senegal,HIV/AIDS,Pregnant women tested for HIV during ANC or labor and receiving the results,2016,51.9
Senegal,Neonatal disorders,Antenatal care provider: Community health worker,2016,
Senegal,Neonatal disorders,Antenatal visits for pregnancy: 4+ visits,2016,52.5
Senegal,Neonatal disorders,Antenatal care content: Received iron tablets or syrup,2016,94.7
Senegal,DPT,Tetanus protection at birth,2016,81.6
Senegal,Neonatal disorders,Assistance during delivery from a skilled provider,2016,60.2
Senegal,Neonatal disorders,Newborn's first postnatal checkup in the first two days after birth,2016,52.8
Senegal,Neonatal disorders,Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,2016,27.4
